,Title,ReviewDate,Stay Date,comments,Restaurant_Name,Review_Sentiment
10,b'This is our favorite place',"b'Reviewed September 23, 2020 '",b'Date of visit: September 2020',"[b'This is our favorite place to have lunch!!! the portions sizes are generous and one portion can easily feed 2 people. We tried their fried calamari and it was so delicious, crispy from outside and super soft from the inside. what won my heart is...their kottu and the crab Kottu is my favorite. we ordered coconut cheesecake for dessert and it had more of a pudding like texture, soft and adequately sweet to compliment the delicious meal we had. Looking forward to trying more of their amazing dishes!!!More']",A Minute by Tuk Tuk Colombo,POSITIVE
11,b'Never lets you down!',"b'Reviewed July 7, 2020 '",b'Date of visit: July 2020',"[b'I can safely say, one of favorite restaurants to visit, and the food  plus service is always the same super service and by far the best HBC I have ever tasted!! All time winner..... This restaurant deserves nothing lower than a 5 star rating, and...the last visit Chenusha who was there, was ever so helpful and polite. Kudos Minute by Tuk Tuk... Keep up the good job!More']",A Minute by Tuk Tuk Colombo,POSITIVE
12,b'Service and presentation was good - food was just OK',"b'Reviewed June 26, 2020 '",b'Date of visit: June 2020',"[b'I recently visited A Minute By Tuk Tuk in the One Galle Face mall.\nIt is on the top floor and the view is very good.\nThe restaurant was very clean and the decor was interesting.\nThe staff were very friendly and helpful but the...food was just OK.\nThe presentation was excellent, but we were disappointed by the overall taste.\nWould I go back again, probably not.More']",A Minute by Tuk Tuk Colombo,POSITIVE
13,b'Refreshingly Experimental ',"b'Reviewed May 20, 2020 '",b'Date of visit: December 2019',"[b'A Minute by Tuk Tuk offers a fantastic and refreshing take on Sri Lankan cuisine.\n\nIn addition to the delicious food and creative drinks (it is a must to try the latter), the service offered by the restaurant\xe2\x80\x99s staff was excellent. The manager, Shan Aruna,...made my brother and I welcome from the moment we walked in and expertly guided as through the menu. \n\nAfter over a week of experiencing Sri Lankan cuisine of varying quality, A Minute by Tuk Tuk offered something unique and exciting.  Definitely give this restaurant a try during your stay in Colombo!More']",A Minute by Tuk Tuk Colombo,POSITIVE
14,b'Yummy food and huge serving size',"b'Reviewed March 13, 2020 '",b'Date of visit: February 2020',[b'Had a good lunch treat here. Interior is very elegant and artistic. the food we ordered  was very tasty and portion was big. the prawn curry was served with generous amount of prawns and worth it.'],A Minute by Tuk Tuk Colombo,POSITIVE
15,b'Great food & amazing sunset!',"b'Reviewed March 12, 2020 '",b'Date of visit: March 2020',"[b'An unexpected twist to Sri Lankan food, enhancing flavors for a delightful gastronomical journey. The best place in Colombo to watch the sunset.']",A Minute by Tuk Tuk Colombo,POSITIVE
16,b'Everything was perfect but...',"b'Reviewed March 12, 2020 '",b'Date of visit: March 2020',"[b""We enjoyed the food from the kids meal to the seafood sharing plate we had (4000LKR for 2 prawns 1 crab 1 lobster and a piece of barramundi). That was so good that we decide to order again 2 barramundi pieces. Then we asked for...the bill and saw we got charged 4400LKR just for the 2 barramundi pieces. I think this is really expensive for what it is. I should have asked for the price before but I didn't expect such a move from the friendly staff (Rishan The Captain). It was good so go there just checked the price before ordering !More""]",A Minute by Tuk Tuk Colombo,NEGATIVE
17,b'Friendly service and delicious foods',"b'Reviewed March 8, 2020 '",b'Date of visit: February 2020',"[b""Last month me and my wife visited this place for a quick drink. But while we were having drinks around us people were having lunch. Those foods had amazing smell and our mouths were watering. So we decided to try some food there.\nThen we...ordered cuttlefish and black pork curry. That's the best pork curry I ever had. Cuttlefish also very tasty. Mojito was a very nice and tasty.\nSpecial thanks to Mr.Shan the manager and Avon who served us. They are very friendly...\nValue for money...\nAmbiance was great...\nWe definitely will return...\n\nI highly recommend this place to everyone, just go and get that amazing experience in the town...\n\nGood luck!More""]",A Minute by Tuk Tuk Colombo,POSITIVE
18,b'Incredible food and service',"b'Reviewed March 7, 2020 '",b'Date of visit: January 2020',[b'Excellent food and the service was incredible. Me and my friends went and had the prawn Vadai\xe2\x80\x99s and they were incredible. I would also recommend the abulthial wrapped in a Roti as it was exceptional. \n\nDefinitely recommend going here!\n\nCharmalie'],A Minute by Tuk Tuk Colombo,POSITIVE
19,b'Wonderful',"b'Reviewed March 6, 2020 '",b'Date of visit: March 2020',[b'Food and mojitho was really good. Good quality and survives. Rooftop experience was good. Thanks Rishan.'],A Minute by Tuk Tuk Colombo,POSITIVE
20,b'Decent Restaurant for a simple lunch',"b'Reviewed January 23, 2020 '",b'Date of visit: January 2020',"[b'There are 2 Amrithaa restaurants both on Galle road one opposite to ADMT institute is the one I frequent. You have go upstairs for lunch. Served after 12 noon everyday. Very simple lunch with white or red rice, dhall, sambar, rasam, buttermilk, appalam, small dhall...vada, thogayal, kootu and one vegetable, served on a Banana leaf. they also give u a cup of kheer. the ambiance is very ordinary like one of the Udipi hotels in tamil nadu. I like the taste though it is not out of the world. If you wanted to have a simple cost effective south Indian lunch this will be the place.  This is popular among the people so the tables will be usually occupied but you can manage to find one if you are single. I enjoy my lunch here.More']",Amirthaa,POSITIVE
21,b'Vegetarian Food',"b'Reviewed January 7, 2020 '",b'Date of visit: January 2020',[b'Good vegetarian food. My favourite is Chillie Paratta provided with a pine apple curry. I used to buy least twice a month.'],Amirthaa,POSITIVE
22,b'Excellent Breakfast - Visit Before 8 A M',"b'Reviewed December 31, 2019 '",b'Date of visit: December 2019',"[b'Parking available wayside. Efficient waiters and plenty of seating. Best breakfast you can have hot hot after 7 and before 8 AM. A rare dish: onion wadai with green sambol and red sambol. Also you can enjoy: dhal wadai, ulundu wadai, potatoe balls (great taste),...masala dosai, ghee dosai (recommended), red and  white strings hoppers (with coconut curry highly recommended ), hot milk with nescafe etc. Whatever you order ask them to serve it hot hot.More']",Amirthaa,POSITIVE
23,b'Decent Food',"b'Reviewed June 12, 2019 '",b'Date of visit: June 2019',"[b'Went there for dinner as a quick stop and we found the food to be decent and good value for money. It\'s a simple/humble vegetarian place, in Lankan terms a ""Saiva Kade"" serving Indian and some Sri Lankan varieties primarily of Tamil tradition. We had...the string hoppers, dosa and masala tea. For the order, they brought in a plate filled with string hoppers and varieties of sambars and coconut chutneys as accompaniments. The flavor was decent. We also saw people enjoying vadas as well. The dosa was crispy and tasted as expected. My only qualm was that the serves use their bare hands in touching the food, placing the items on the plate, count how many we had etc which I think should be avoided. Overall the place was clean, flavors decent, good value for money and not a bad place for a quick, cheap bite for those wallet tight days.More']",Amirthaa,POSITIVE
24,b'Cheap .Veg.',"b'Reviewed January 5, 2019 '",b'Date of visit: January 2019',[b'This is a very cheap vegetarian restaurant on the main Galle road. The food is good basically South Indian style. The ambiance poor.The service fast and good.'],Amirthaa,NEGATIVE
25,b'Pure vegetarian South Indian food!',"b'Reviewed July 28, 2018 '",b'Date of visit: July 2018',"[b""Good food and very nominally priced! much lower than most of the places! Had Onion uttapam, fried rice and sambar. Taste was good, ambience was poor, Price was low. So for pure vegetarian people who don't want to spend more this is the place to...be. it was walking distance from my hotel that was another plus point for me.More""]",Amirthaa,NEGATIVE
26,b'lovely evening diner..',"b'Reviewed July 24, 2018 '",b'Date of visit: July 2018',"[b""My usual haunt for late evening dinner at least twice a week. Good Food. they give this tea with cows milk which is the finest in the entire Galle road all the way down to Galle.!\nReal efficient staff. They don't seem to bother much...about tipping .Few times I had to go in search of the waiter to give him few bucks .Food is typical vegetarian .Taste and cleanliness decently revisitable..Nice atmosphere with the front fully open to the road..More""]",Amirthaa,POSITIVE
27,"b'Dependable, accessable, authentic food, service and experience'","b'Reviewed June 2, 2018 '",b'Date of visit: May 2018',"[b'I\'m so lucky to have Amirthaa as my local. Dispite this being a really local, cheap eating house, the waiters know the words we (foreigners) need to convey, like ""not spicy"", ""drink"" etc. There are pictures of all else fails. \nThe system is after you...order your basic carbs, your table is given the veg/sauces/pastes and other ""things"" you may like to try. Help yourself to the sauces. If you don\'t eat the extra things, you don\'t pay, so don\'t touch, as they go back into stock. \nSo the carbs are, the big paper dosas (thin large pancakes), string hoppers, nan bread and other versions of carbs. It\'s fun dipping and trying all options as a group. Don\'t forget the upstairs area. The restaurant is fast-paced and if you eat slowly and like to people watch you could (descretly) observe many families eat and run. Walk it off by taking a block to the seaside, Ozo rooftop, perhaps for a great view of these suburbs.More']",Amirthaa,NEGATIVE
28,b'Delicious masala dosa',"b'Reviewed April 15, 2018 '",b'Date of visit: April 2018',"[b'With my wife we had masala dosa and ghee dosa, both delicious, coconut sambar, hmmm, yammi. Also ladu and milk tea were so good, not that sugary like in other restaurants. Highly recommend to come and eat here ;)']",Amirthaa,POSITIVE
29,b'Delicious Food',"b'Reviewed November 3, 2017 '",b'Date of visit: July 2017',"[b'The food is good, friendly non pretentious staff, reasonable prices. Super place for a family dinner or meal with friends.']",Amirthaa,POSITIVE
30,b'Simply Delightful',"b'Reviewed February 17, 2020 '",b'Date of visit: February 2020',"[b'Excellent sandwiches, cocktails crafted with care and at a decent price, and a absolutely stunning view of the city.  A good place for date night or to simply unwind in the evening.  Excellent atmosphere.  Simply Delightful.More', b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo\nWe are delighted to note that you have had a memorable experience and enjoyed the views from our rooftop bar. \n\nWe appreciate your recommendation and suggestions. \n\n\nWe look forward to...More']",Cloud Red,POSITIVE
31,"b""Enjoying a drink with a bird's eye view over nightly Colombo""","b'Reviewed January 25, 2020 '",b'Date of visit: January 2020',"[b""We love coming to Cinnamon Red's rooftop bar called 'Cloud Red'. First visited this place back in 2018, and revisited it a couple of times this year (2020), it is the perfect place for a nice drink or snack. The bites are excellent and the...prices are fair. They also make great mock/cocktails! Special shoutout to Eranga who was the perfect host to us last time we were there.More"", b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo.\n\nWe are delighted to note that you have had a memorable experience and we appreciate your recommendation.\nWe will convey your feedback to Eranga. \n\nWe look forward to the pleasure...More']",Cloud Red,POSITIVE
32,b'Date Night',"b'Reviewed January 21, 2020 '",b'Date of visit: January 2020',"[b""Went out after a long time and we didnt think twice before coming to Cinnamon red to end the night with the perfect ambiance, service and beverage. We had the cloud Red's new signature cocktail and it was amazing! Its definitely a drink worth experiencing!...The night was made fun and lively by Eranga, saliya, and sameera with their perfect interpersonal skills to make sure we were acquainted to max! \nMany thanks to the rest of the staff who were very attentfull to our needs. Well done! Will be back soon!More"", b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo.\n\nWe are delighted to note that you have had a memorable experience and we appreciate your recommendation.\nWe will convey your feedback to Saliya and Cloud Red team. \n\nWe look...More']",Cloud Red,POSITIVE
33,b'Nice view.  Lovely at night.  Very humid.  The mocktail I had was too sweet.',"b'Reviewed January 3, 2020 '",b'Date of visit: January 2020',"[b""Lovely view.  Staff are friendly and pleasant.  Surprised it was so quiet on a Friday evening.  They have a big selection of drinks including mocktails and tapas as well as hot drinks.  It's spacious with a lot of seating.  Relatively clean.  It was just way...too humid.  Views are stunning.  I ordered a mocktail as a non-drinker which was way too sugary.  Very sweet.  I had to have a strong americano afterwards.  We would have stayed longer but the humidity became unbearable.  Nice rooftop bar with good views.  Nice vibe and chilled atmosphere.  Probably not so chilled when it's very busy.More"", b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo.\nWe are delighted to note that you have enjoyed the views from our rooftop bar.  \n\nRegret if you found the Mocktail served to you was too sweet, and we appreciate...More']",Cloud Red,POSITIVE
34,b'Amazing cocktails and tapas ',"b'Reviewed December 30, 2019 '",b'Date of visit: December 2019',"[b'Amazing cocktails and great food. The view is great and it\xe2\x80\x99s a very relaxing place. Kavindu was our server and he was great! Cinnamon red is a great place for a drink and tapasMore', b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo.\n\nWe are delighted to note that you have had a memorable experience and we appreciate your recommendation.\nWe will convey your feedback to Kavindu. \n\nWe look forward to the pleasure...More']",Cloud Red,POSITIVE
35,b'Great views ',"b'Reviewed September 12, 2019 '",b'Date of visit: September 2019',"[b'There is a bar and restaurant with great views. \nIsn\xe2\x80\x99t cheap but no so expensive. \nAppetizers from 500 (fries) to 800 (calamares). \nDrinks from 900 (gin). \nPitchers from 3.500 (Sangrias), that is good.More', b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo\nWe are delighted to note that you have had a memorable experience and enjoyed the views from our rooftop bar. \n\nWe appreciate your recommendation and suggestions. \n\n\nWe look forward to...More']",Cloud Red,POSITIVE
36,"b'Great Tapas, Top Notch Cocktails and an AMAZING VIEW !'","b'Reviewed September 1, 2019 '",b'Date of visit: August 2019',"[b""Located in the heart of Colombo , Cloud Red undoubtedly tops the list of rooftop bars in Colombo.Along with the amazing view they serve some Top Notch Cocktails. My personal favorite was the white Sangria which the best Sangria I've ever had.\n\nThe mixed Tapas...platter priced at LKR 1200 was indeed a real treat ! Loved every bit of it. Also they've got some amazing deals on drinks. And of course they provide a great service with their friendly staff. \n\nAll in all Cloud Red was an awesome experience with yummy food, top notch cocktails, great value for money and the perfect ambiance of course. \n\nHighly Recommended is one of the perfect date/hangout with friends spot in Colombo!More"", b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo\nWe are delighted to note that you have had a memorable experience and enjoyed the views from our rooftop bar. \n\nWe appreciate your recommendation and suggestions. \n\n\nWe look forward to...More']",Cloud Red,POSITIVE
37,b'Great Tapas and an amazing view!',"b'Reviewed July 6, 2019 '",b'Date of visit: July 2019',"[b""Taps were really good at cloud red and worth the money paid. Beverages were great too and they've got some great offers too.\n\nThe view was beautiful and the setup was nice and comfortable. Will go back for an amazing sunset and for beer!More"", b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo\nWe are delighted to note that you have had a memorable experience and enjoyed the views from our rooftop bar. \n\nWe appreciate your recommendation and suggestions. \n\n\nWe look forward to...More']",Cloud Red,POSITIVE
38,b'Fantastic View of Colombo City',"b'Reviewed June 29, 2019 '",b'Date of visit: June 2019',"[b'Located on the rooftop of 25-storied Cinnamon Grand, Cloud Red is a bar/lounge. We went in the evening and found a stunning vista of lit-up Colombo all around us. While one side of the roof houses the swimming pool, one can walk around for a...360 view of the city. Absolutely worth it!\n\nThe bar has both indoor and outdoor seating - indoor is rather small and totally insufficient in case it rains. Service was a tad slow even though the bar was 2/3rd empty. This is something they need to work on.\n\nOffers variety of drinks and cocktails along with snacks. The prawns especially were great!More', b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo.\nWe are delighted to note that you have enjoyed the views from our rooftop bar and tapas. \n\nRegret if you found the service was slow and we appreciate your feedback...More']",Cloud Red,POSITIVE
39,b'Lovely ambiance ',"b'Reviewed June 4, 2019 '",b'Date of visit: June 2019',"[b'Cloud red, the roof top bar at Cinnamon red combo is a great place to hangout ..\n\nBeautiful view of Colombo city and great atmosphere..\n\nNice place to relax and enjoy a quiet drink ..More', b'Dear Guest, \n\nThank you for reviewing Cloud Red, the rooftop bar of Cinnamon Red Colombo\nWe are delighted to note that you have had a memorable experience and enjoyed the views from our rooftop bar. \n\nWe appreciate your recommendation and suggestions. \n\n\nWe look forward to...More']",Cloud Red,POSITIVE
40,b'Great service and food',b'Reviewed 4 weeks ago ',b'Date of visit: September 2020',"[b'I hosted a small dinner for a couple of friends. The staff was very accommodating and helpful in all aspects. The food was good, with great value. Will definitely host another dinner there again!', b'Dear ahappycustomer,\n\nGreetings from The Kingsbury!\n\nThank you very much for this wonderful review. We are delighted that you enjoyed dining with us and look forward to welcoming you back.\n\nThank you for your valued patronage.\n\nWarm Regards,\n\nCustomer Relations Manger']",Yue Chuan,POSITIVE
41,b'Nice Spicy Dinner',"b'Reviewed October 3, 2020 '",b'Date of visit: October 2020',"[b'It was the first time I experienced the dining at The kingsbury hotel. \nWe enjoyed the garlic prawns, belly fried pork and green beans scheswan style. \n\nThe food was tasty and full of flavor. It was certainly spicy to the Sri Lankan pallette, ane Good...service a match.More', b'Dear Dimitri P,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Yue Chuan. We are delighted that you enjoyed the food and hospitality of our staff. \n\nThank you for your valued patronage! We look forward to welcoming you back.\n\nWarm Regards,...More']",Yue Chuan,POSITIVE
42,b'Superb Chinese',"b'Reviewed October 1, 2020 '",b'Date of visit: October 2020',"[b'Wonderful taste and prices are very reasonable. They have two menus that cater to both authentic Chinese and Sri Lankan Chinese dishes. Also makes an excellent hot butter cuttle fish. \n\nService is also 5 star. Our waiter Rilwan was very polite and helpful. \n\nA must...visit for good Chinese food.More', b'Dear yantao92 ,\n\nGreetings from The Kingsbury!\n\nThank you for this lovely review of your dining experience at Yue Chuan! We are delighted that all aspects were to your satisfaction and greatly appreciate your feedback.\n\nThank you for your valued patronage! We look forward to...More']",Yue Chuan,POSITIVE
43,b'Dinner',"b'Reviewed September 23, 2020 '",b'Date of visit: September 2020',"[b'The food was great and the people and the service is really great as well. The crew over here are very kind and caring', b'Dear Manishka,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review. We are delighted that you enjoyed dining with us and look forward to welcoming you back.\n\nThank you for your valued patronage.\n\nWarm Regards,\n\nCustomer Relations Manger']",Yue Chuan,POSITIVE
44,b'Delicious food!! Great customer',"b'Reviewed September 20, 2020 '",b'Date of visit: September 2020',"[b'Delicious food!! Great customer Service. I tried their sea food fried rice and hot butter cuttlefish which are the fast moving dishes at the restaurant.', b'Dear Nijendra ,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review. We are delighted that you enjoyed your dining experience with us.\n\nThank you for your valued patronage! We look forward to welcoming you back.\n\nWarm Regards,\n\nCustomer Relations Manager']",Yue Chuan,POSITIVE
45,b'Lunch',"b'Reviewed September 20, 2020 '",b'Date of visit: September 2020',"[b'We had excellent Chinese ever had great food great welcome and service keep up the good work nice ambience', b'Dear Indunil,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Yue Chuan. We are delighted that you enjoyed dining with us and eagerly anticipate welcoming you back.\n\nThank you for your patronage!\n\nWarm Regards,\n\nCustomer Relations Manager']",Yue Chuan,POSITIVE
46,b'The food was fantastic. The',"b'Reviewed September 19, 2020 '",b'Date of visit: September 2020',"[b'The food was fantastic. The place is also very nice and cozy. The service was very good. Good experience overall.', b'Dear rasikag24,\n\nGreetings from The Kingsbury!\n\nThank you very much for this wonderful review of Yue Chuan. We are delighted that you enjoyed dining with us and look forward to welcoming you back.\n\nThank you for your valued patronage.\n\nWarm Regards,\n\nCustomer Relations Manger']",Yue Chuan,POSITIVE
47,b'Best Dinner',"b'Reviewed September 17, 2020 '",b'Date of visit: September 2020',"[b'I love the friendly service with the tasty food beatiful atmosphere the staff realy knows what we need. The welcome is wow. No doubt one of the best chinese in colombo.', b'Dear Shalinda W,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Yue Chuan. We are delighted that you enjoyed dining with us and eagerly anticipate welcoming you back.\n\nThank you for your patronage!\n\nWarm Regards,\n\nCustomer Relations Manager']",Yue Chuan,POSITIVE
48,b'Tasty luch',"b'Reviewed September 15, 2020 '",b'Date of visit: September 2020',"[b'luch doubt this is my usual place for lunch i enjoy the food and the service here this is my second home.the food taste well.excellent team for service visit this place and enjoy the resl chinese food', b'Dear Singhara S ,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Yue Chuan. We are delighted that you enjoyed dining with us and eagerly anticipate welcoming you back.\n\nThank you for your patronage!\n\nWarm Regards,\n\nCustomer Relations Manager']",Yue Chuan,POSITIVE
49,b'Best lunch',"b'Reviewed September 7, 2020 '",b'Date of visit: September 2020',"[b'One of the favorites restaurant of mind. The seafood rice\nIs wow. The staff are excellent and the servise is fast I recommend this place to everyone. Good job from allMore', b'Dear Ravindra,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Yue Chuan. We are delighted that you enjoyed all aspects of your dining experience with us and eagerly anticipate welcoming you back.\n\nThank you for your patronage!\n\nWarm Regards,\n\nCustomer Relations...More']",Yue Chuan,POSITIVE
50,b'King of Steak \xf0\x9f\x92\xaf ',b'Reviewed 2 weeks ago ',b'Date of visit: August 2020',"[b'One of the best restaurants in Colombo, service is absolutely amazing, each an every item on the table is sanitized right in front of you, drinks are perfect, chef personally paid visit to know whether we liked the food preparation or not. One of the...best dining experiences in the reason past. Must try, highly recommend \xf0\x9f\x91\x8cMore', b'Dear Sumeera Rodrigo,\n\nGreetings from The Kingsbury!\n\nThank you very much for taking the time to review your experience at Kings Steakbar! The safety and wellbeing of our guests and staff is our utmost priority and we are delighted to learn that you enjoyed dining...More']",Kings Steakbar,POSITIVE
51,b'Had a great evening  at kings steak bar',"b'Reviewed October 4, 2020 '",b'Date of visit: September 2020',"[b'We had a wonderful time at the kings steak bar.one of the best & rich selection of cocktails and wine list in the city.Their signature cocktails added extra flavours for the steaks.Thanks Mr Dushan for your recommendation .We will back for again.', b'Dear Hansani Narmada ,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Kings Steakbar. We are delighted that you enjoyed dining with us and eagerly anticipate welcoming you back.\n\nThank you for your patronage!\n\nWarm Regards,\n\nCustomer Relations Manager']",Kings Steakbar,POSITIVE
52,b'Beautiful Time at The Kings',"b'Reviewed October 3, 2020 '",b'Date of visit: September 2020',"[b'Last weekend I and my family had a great time at The Kings Steak Bar.Delicious food & wonderful ambeince. We received one of the best service from the staff.Highly recommended as a nice steak house & fine dine restarunt in Colombo. Mr.Dushan & team keep...it up all your great work...Thank u all...!!!More', b'Dear Sajini Wathma ,\n\nGreetings from The Kingsbury!\n\nThank you for this lovely review of your dining experience at Kings Steakbar! We are delighted that all aspects of your experience were to your satisfaction and greatly appreciate your feedback.\n\nThank you for your valued patronage!...More']",Kings Steakbar,POSITIVE
53,b'Had nice time in KINGS STEAKBAR',"b'Reviewed October 1, 2020 '",b'Date of visit: September 2020',"[b'KINGS STEAKBAR Is one of decent pub in Colombo city. Friendly service staff and they always recognize repeated guests no mater how often you visit them.\nNice ambiance,clean place where I spend couple of evenings to get chilledMore', b'Dear Madawa\n\nGreetings from The Kingsbury !\n\nThank you very much for your review . We are truly delighted that all aspects of your experience at Kings Steakbar were to your satisfaction . \n\nThank you for your valued patronage . We look forward to welcoming...More']",Kings Steakbar,POSITIVE
54,b'Dining Experience',"b'Reviewed September 28, 2020 '",b'Date of visit: September 2020',"[b""We had a superb dining experience - Eristus Wyderman took good care of us and made it very special with excellent service - there was attention to detail and everything was done just right from the moment we entered the restaurant to the time we...left. It was my Mother-in-law's Birthday and eventhough we didn't specially mention it he arranged for a cake to be served and Happy Birthday to be sung making it ever so special. We truly appreciate this level of service. The menu is better than before with more interesting options and the food was very well prepared and presented. Will definitely be visiting again and recommending it to our friends.More"", b'Dear DW7607 ,\n\nGreetings from The Kingsbury!\n\nThank you very much for your review of Kings Steakbar. We are delighted that your dining experience was to your utmost satisfaction and greatly appreciate your kind words of encouragement.\n\nThank you for your valued patronage! We look...More']",Kings Steakbar,POSITIVE
55,b'Kings steak bar. ',"b'Reviewed September 28, 2020 '",b'Date of visit: September 2020',"[b'One of the best pub. Highly recommended. Best service. Must visit. Good foods. Mr. Dushan did a great job. Thanks Dushan.', b'Dear Prasanga,\n\nGreetings from The Kingsbury!\n\nThank you very much for this wonderful review. We are delighted that you enjoyed dining with us and look forward to welcoming you back.\n\nThank you for your valued patronage.\n\nWarm Regards,\n\nCustomer Relations Manger']",Kings Steakbar,POSITIVE
